Donne	VER:pres	donner
à	PRP	à
Roger	NAM	Roger
des	PRP:det	du
bornes	NOM	borne
à	PRP	à
ton	DET:POS	ton
zèle	NOM	zèle
,	PUN	,
Tes	VER:simp	Tes
soupçons	NOM	soupçon
lui	PRO:PER	lui
font	VER:pres	faire
tort	NOM	tort
,	PUN	,
il	PRO:PER	il
n'	ADV	ne
est	VER:pres	être
point	ADV	point
infidèle	ADJ	infidèle
.	SENT	.
Trop	ADV	trop
d'	PRP	de
amour	NOM	amour
m'	PRO:PER	me
a	VER:pres	avoir
toujours	ADV	toujours
répondu	VER:pper	répondre
de	PRP	de
sa	DET:POS	son
foi	NOM	foi
,	PUN	,
Pour	NAM	Pour
le	PRO:PER	le
croire	VER:infi	croire
touché	VER:pper	toucher
d'	PRP	de
une	DET:ART	un
autre	ADJ	autre
que	KON	que
de	PRP	de
moi	PRO:PER	moi
.	SENT	.
Même	ADJ	même
ardeur	NOM	ardeur
à	PRP	à
tous	PRO:IND	tout
deux	NOM	deux
nous	PRO:PER	nous
rend	VER:pres	rendre
l'	DET:ART	le
âme	NOM	âme
constante	ADJ	constant
,	PUN	,
En	VER:simp	En
quelque	PRO:IND	quelque
lieu	NOM	lieu
qu'	PRO:REL	que
il	PRO:PER	il
soit	VER:subp	être
,	PUN	,
il	PRO:PER	il
aime	VER:pres	aimer
Bradamante	ADJ	Bradamante
,	PUN	,
Et	NOM	Et
sensible	ADJ	sensible
au	PRP:det	au
malheur	NOM	malheur
qui	PRO:REL	qui
m'	PRO:PER	me
accable	VER:pres	accabler
aujourd'hui	ADV	aujourd'hui
,	PUN	,
Il	NAM	Il
soupire	VER:pres	soupirer
pour	KON	pour
moi	PRO:PER	moi
comme	ADV	comme
je	PRO:PER	je
fais	VER:pres	faire
pour	PRP	pour
lui	PRO:PER	lui
.	SENT	.
La	DET:ART	le
valeur	NOM	valeur
de	PRP	de
Roger	NAM	Roger
aux	PRP:det	au
plus	ADV	plus
fiers	ADJ	fier
redoutable	ADJ	redoutable
,	PUN	,
Pour	NAM	Pour
vous	PRO:PER	vous
toute	PRO:IND	tout
Guerrière	NAM	Guerrière
a	VER:pres	avoir
pu	VER:pper	pouvoir
le	DET:ART	le
rendre	VER:infi	rendre
aimable	ADJ	aimable
,	PUN	,
Mais	VER:impf	Mais
de	PRP	de
vos	DET:POS	votre
sens	NOM	sen|sens
séduits	VER:pper	séduire
c'	PRO:DEM	ce
est	VER:pres	être
trop	ADV	trop
croire	VER:infi	croire
l'	DET:ART	le
erreur	NOM	erreur
,	PUN	,
Que	VER:pper	Que
de	PRP	de
le	PRO:PER	le
préférer	VER:infi	préférer
au	PRP:det	au
Fils	NOM	fil|fils
d'	PRP	de
un	DET:ART	un
Empereur	NOM	empereur
.	SENT	.
Constantin	NAM	Constantin
vous	PRO:PER	vous
offrant	VER:ppre	offrir
l'	DET:ART	le
Empire	NOM	Empire
de	PRP	de
la	DET:ART	le
Grèce	NAM	Grèce
,	PUN	,
Méritait	VER:impf	mériter
pour	PRP	pour
ce	PRO:DEM	ce
fils	NOM	fil|fils
toute	PRO:IND	tout
votre	DET:POS	votre
tendresse	NOM	tendresse
;	PUN	;
Il	VER:subi	Il
vous	PRO:PER	vous
l'	PRO:PER	la|le
a	VER:pres	avoir
demandée	VER:pper	demander
,	PUN	,
et	KON	et
ses	DET:POS	son
Ambassadeurs	NOM	ambassadeur
Ont	VER:futu	Ont
longtemps	ADV	longtemps
combattu	VER:pper	combattre
vos	DET:POS	votre
injustes	ADJ	injuste
froideurs	NOM	froideur
.	SENT	.
Cependant	ADV	cependant
c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
vain	ADJ	vain
que	KON	que
Léon	NAM	Léon
vient	VER:pres	venir
en	PRP	en
France	NAM	France
,	PUN	,
Qu'	NAM	Qu'
il	PRO:PER	il
rend	VER:pres	rendre
toute	PRO:IND	tout
la	DET:ART	le
Cour	NAM	Cour
témoin	NOM	témoin
de	PRP	de
sa	DET:POS	son
constance	NOM	constance
,	PUN	,
Vous	NAM	Vous
dédaignez	VER:pres	dédaigner
ses	DET:POS	son
voeux	NOM	vœu
,	PUN	,
et	KON	et
les	DET:ART	le
lois	NOM	loi
du	PRP:det	du
devoir	NOM	devoir
Pour	NAM	Pour
vous	PRO:PER	vous
faire	VER:infi	faire
obéir	VER:infi	obéir
demeurent	VER:pres	demeurer
sans	PRP	sans
pouvoir	NOM	pouvoir
.	SENT	.
Qu'	KON	que
a	VER:pres	avoir
donc	ADV	donc
fait	VER:pper	faire
ce	PRO:DEM	ce
Roger	NAM	Roger
de	PRP	de
si	ADV	si
digne	ADJ	digne
de	PRP	de
plaire	VER:infi	plaire
,	PUN	,
Qu'	NAM	Qu'
au	PRP:det	au
Diadème	NAM	Diadème
,	PUN	,
à	PRP	à
tout	ADV	tout
,	PUN	,
votre	DET:POS	votre
amour	NOM	amour
le	PRO:PER	le
préfère	VER:pres	préférer
?	SENT	?
Par	PRP	par
quels	PRO:REL	quel
soins	NOM	soin
,	PUN	,
quels	PRO:REL	quel
devoirs	NOM	devoir
a-t-il	ADJ	a-t-il
pu	VER:pper	pouvoir
vous	PRO:PER	vous
charmer	VER:infi	charmer
?	SENT	?
Il	PRO:PER	il
m'	PRO:PER	me
aime	VER:pres	aimer
,	PUN	,
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
assez	ADV	assez
pour	KON	pour
me	PRO:PER	me
le	PRO:PER	le
faire	VER:infi	faire
aimer	VER:infi	aimer
,	PUN	,
Mille	NAM	Mille
et	KON	et
mille	NUM	mille
vertus	NOM	vertu
,	PUN	,
dont	PRO:REL	dont
l'	DET:ART	le
éclat	NOM	éclat
l'	PRO:PER	la|le
environne	VER:pres	environner
,	PUN	,
L'	DET:ART	le
emportent	VER:pres	emporter
sur	PRP	sur
celui	PRO:DEM	celui
dont	PRO:REL	dont
brille	VER:pres	briller
une	DET:ART	un
Couronne	NAM	Couronne
.	SENT	.
Pour	PRP	pour
un	DET:ART	un
coeur	NOM	cœur
noble	ADJ	noble
et	KON	et
grand	ADJ	grand
,	PUN	,
la	DET:ART	le
gloire	NOM	gloire
a	VER:pres	avoir
des	PRP:det	du
appas	NOM	appas
Que	VER:pper	Que
sans	PRP	sans
un	DET:ART	un
nom	NOM	nom
fameux	ADJ	fameux
le	DET:ART	le
plus	ADV	plus
haut	ADJ	haut
rang	NOM	rang
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
.	SENT	.
Mais	KON	mais
Aimon	NAM	Aimon
votre	DET:POS	votre
père	NOM	père
à	PRP	à
cet	PRO:DEM	ce
amour	NOM	amour
s'	PRO:PER	se
oppose	VER:pres	opposer
?	SENT	?
Cet	PRO:DEM	ce
amour	NOM	amour
,	PUN	,
je	PRO:PER	je
l'	PRO:PER	la|le
avoue	VER:pres	avouer
,	PUN	,
à	PRP	à
son	DET:POS	son
courroux	NOM	courroux
m'	PRO:PER	me
expose	VER:pres	exposer
,	PUN	,
Mais	NAM	Mais
lorsque	KON	lorsque
autorisés	VER:pper	autoriser
à	PRP	à
disposer	VER:infi	disposer
de	PRP	de
moi	PRO:PER	moi
,	PUN	,
