DÉCORATION	NOM	décoration
DU	NAM	DU
PROLOGUE	NAM	PROLOGUE
.	SENT	.
La	DET:ART	le
toile	NOM	toile
qui	PRO:REL	qui
cache	VER:pres	cacher
le	DET:ART	le
théâtre	NOM	théâtre
étant	VER:ppre	être
levée	VER:pper	lever
,	PUN	,
laisse	VER:pres	laisser
paraître	VER:infi	paraître
un	DET:ART	un
temple	NOM	temple
de	PRP	de
riche	ADJ	riche
architecture	NOM	architecture
,	PUN	,
que	KON	que
la	DET:ART	le
Gloire	NOM	gloire
a	VER:pres	avoir
fait	VER:pper	faire
élever	VER:infi	élever
pour	PRP	pour
le	DET:ART	le
Roi	NOM	roi
.	SENT	.
L'	DET:ART	le
Ordre	NOM	ordre
en	PRO:PER	en
est	VER:pres	être
composite	ADJ	composite
,	PUN	,
avec	PRP	avec
plusieurs	PRO:IND	plusieurs
arcades	NOM	arcade
et	KON	et
colonnes	NOM	colonne
de	PRP	de
jaspe	NOM	jaspe
d'	PRP	de
orient	NOM	orient
,	PUN	,
dont	PRO:REL	dont
les	DET:ART	le
bases	NOM	base
et	KON	et
chapiteaux	NOM	chapiteau
sont	VER:pres	être
d'	PRP	de
or	NOM	or
,	PUN	,
aussi	ADV	aussi
bien	ADV	bien
que	KON	que
les	DET:ART	le
modillons	NOM	modillon
et	KON	et
les	DET:ART	le
fleurs	NOM	fleur
de	PRP	de
lys	NOM	lys
qui	PRO:REL	qui
sont	VER:pres	être
les	DET:ART	le
ornements	NOM	ornement
des	PRP:det	du
corniches	NOM	corniche
et	KON	et
des	PRP:det	du
frises	NOM	frise
.	SENT	.
Le	DET:ART	le
haut	NOM	haut
du	PRP:det	du
Temple	NAM	Temple
est	VER:pres	être
fini	VER:pper	finir
par	PRP	par
un	DET:ART	un
Attique	NAM	Attique
où	PRO:REL	où
se	PRO:PER	se
voit	VER:pres	voir
un	DET:ART	un
buste	NOM	buste
de	PRP	de
héros	NOM	héro|héros
directement	ADV	directement
au-dessus	ADV	au-dessus
de	PRP	de
chaque	PRO:IND	chaque
milieu	NOM	milieu
des	PRP:det	du
chapiteaux	NOM	chapiteau
.	SENT	.
Les	DET:ART	le
supports	NOM	support
des	PRP:det	du
colonnes	NOM	colonne
sont	VER:pres	être
des	PRP:det	du
piédestaux	NOM	piédestal
qui	PRO:REL	qui
représentent	VER:pres	représenter
une	DET:ART	un
partie	NOM	partie
des	PRP:det	du
conquêtes	NOM	conquête
du	PRP:det	du
Roi	NOM	roi
,	PUN	,
et	KON	et
les	DET:ART	le
superbes	ADJ	superbe
bâtiments	NOM	bâtiment
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
faits	VER:pper	faire
,	PUN	,
ou	KON	ou
qui	PRO:REL	qui
ont	VER:pres	avoir
été	VER:pper	être
embellis	VER:pper	embellir
sous	PRP	sous
son	DET:POS	son
Règne	NOM	règne
.	SENT	.
Au-dessus	ADV	au-dessus
de	PRP	de
chaque	PRO:IND	chaque
piédestal	NOM	piédestal
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
différentes	ADJ	différent
figures	NOM	figure
peintes	VER:pper	peindre
en	PRP	en
saillie	NOM	saillie
et	KON	et
isolées	ADJ	isolé
,	PUN	,
qui	PRO:REL	qui
toutes	PRO:IND	tout
ainsi	ADV	ainsi
que	KON	que
les	DET:ART	le
bustes	NOM	buste
,	PUN	,
représentent	VER:pres	représenter
par	PRP	par
leurs	DET:POS	leur
attributs	NOM	attribut
,	PUN	,
ou	KON	ou
les	DET:ART	le
vertus	NOM	vertu
particulières	ADJ	particulier
que	PRO:REL	que
possède	VER:pres	posséder
cet	PRO:DEM	ce
auguste	ADJ	auguste
monarque	NOM	monarque
,	PUN	,
ou	KON	ou
les	DET:ART	le
Arts	NOM	art
qu'	PRO:REL	que
il	PRO:PER	il
prend	VER:pres	prendre
soin	NOM	soin
de	PRP	de
faire	VER:infi	faire
fleurir	VER:infi	fleurir
.	SENT	.
L'	DET:ART	le
effet	NOM	effet
que	PRO:REL	que
font	VER:pres	faire
ces	PRO:DEM	ce
Figures	NOM	figure
est	VER:pres	être
d'	PRP	de
autant	ADV	autant
plus	ADV	plus
beau	ADJ	beau
,	PUN	,
que	KON	que
se	PRO:PER	se
trouvant	VER:ppre	trouver
chacune	PRO:IND	chacun
